,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,위경도
52,초등학교,운봉초교,부산광역시 해운대구 신반송로 11-20,부산광역시 해운대구 반송동 229,35.22928177,129.1591812,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,8~12.5,2022-03-21,35.22928177129.1591812
54,초등학교,운송초교,부산광역시 해운대구 반송로 839,부산광역시 해운대구 반송동 683-1,35.22863884,129.1460864,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,10~20,2022-03-21,35.22863884129.1460864
55,유치원,은혜유치원,부산광역시 해운대구 선수촌로21번길 35,부산광역시 해운대구 반여동 1477-14,35.19579536,129.1163322,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7~8.5,2022-03-21,35.19579536129.1163322
56,초등학교,인지초교,부산광역시 해운대구 반여로 128,부산광역시 해운대구 반여동 1625,35.20287941,129.1251192,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,5~16,2022-03-21,35.20287941129.1251192
57,유치원,인천유치원,부산광역시 해운대구 재반로12번길 16,부산광역시 해운대구 재송동 100-9,35.17967041,129.1275308,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5,2022-03-21,35.17967041129.1275308
59,초등학교,장산초교,부산광역시 해운대구 선수촌로 68,부산광역시 해운대구 반여동 1425-5,35.200053,129.1196525,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,6~10,2022-03-21,35.200053129.1196525
60,어린이집,재능어린이집,부산광역시 해운대구 재송1로46번길 43,부산광역시 해운대구 재송동 1091-4,35.185743,129.1234959,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,4~5.5,2022-03-21,35.185743129.1234959
61,유치원,재송,부산광역시 해운대구 재반로50번길 22,부산광역시 해운대구 재송동 124-2,35.183725,129.1275505,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,5.5~9,2022-03-21,35.183725129.1275505
63,초등학교,재송초교,부산광역시 해운대구 재반로64번길 33,부산광역시 해운대구 재송동 1120-3,35.18643932,129.1277644,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,7~8.5,2022-03-21,35.18643932129.1277644
64,유치원,좋은엔젤유치원,부산광역시 해운대구 반여로155번길 17-27,부산광역시 해운대구 반여동 1239-4,35.20501147,129.1246082,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7~8,2022-03-21,35.20501147129.1246082
65,초등학교,좌동초교,부산광역시 해운대구 세실로 127,부산광역시 해운대구 좌동 1292,35.17601642,129.175188,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,7.5~12.5,2022-03-21,35.17601642129.175188
67,초등학교,좌산초교,부산광역시 해운대구 좌동순환로311번길 7,부산광역시 해운대구 좌동 1444,35.16885589,129.1838587,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,10~20,2022-03-21,35.16885589129.1838587
68,유치원,중일유치원,부산광역시 해운대구 좌동순환로468번길 29,부산광역시 해운대구 중동 798-2,35.162812,129.1725444,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,4~8,2022-03-21,35.162812129.1725444
69,어린이집,창신어린이집,부산광역시 해운대구 반송로 895,부산광역시 해운대구 반송동 363-24,35.231518,129.151576,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,23,2022-03-21,35.231518129.151576
70,어린이집,파랑새어린이집,부산광역시 해운대구 신반송로 21,부산광역시 해운대구 반송동 233-4,35.22898712,129.1585232,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~8,2022-03-21,35.22898712129.1585232
71,유치원,파랑새유치원,부산광역시 해운대구 해운대구 신반송로 21,부산광역시 해운대구 반송동 233-4,35.2289880622,129.1585211863,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,5~8,2022-03-21,35.2289880622129.1585211863
72,유치원,푸른유치원,부산광역시 해운대구 세실로 19,부산광역시 해운대구 좌동 1333,35.16739639,129.1794388,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,16~26,2022-03-21,35.16739639129.1794388
73,유치원,풀꽃유치원,부산광역시 해운대구 선수촌로 122,부산광역시 해운대구 반여동 1638,35.20386972,129.1216813,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7~9,2022-03-21,35.20386972129.1216813
74,어린이집,풀빛어린이집,부산광역시 해운대구 선수촌로78번길 17-5,부산광역시 해운대구 반여동 1446-1,35.20107662,129.1200088,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,6~10,2022-03-21,35.20107662129.1200088
75,유치원,하늘숲유치원,부산광역시 해운대구 송정중앙로15번길 107,부산광역시 해운대구 송정동 199-21,35.187666,129.2051117,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5,2022-03-21,35.187666129.2051117
76,유치원,한일유치원,부산광역시 해운대구 대천로 56,부산광역시 해운대구 좌동 1274,35.17258205,129.1712847,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,5~10,2022-03-21,35.17258205129.1712847
77,유치원,해강유치원,부산광역시 해운대구 해운대해변로 87,부산광역시 해운대구 우동 994-1,35.16176438,129.143163,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,11,2022-03-21,35.16176438129.143163
78,초등학교,해강초교,부산광역시 해운대구 해운대해변로 73,부산광역시 해운대구 우동 1005-19,35.16215428,129.1417217,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,18.5~20,2022-03-21,35.16215428129.1417217
79,초등학교,해동초교,부산광역시 해운대구 우동1로 104,부산광역시 해운대구 우동 345-1,35.170376,129.1554473,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,5,2022-03-21,35.170376129.1554473
80,유치원,해뜨는유치원,부산광역시 해운대구 청사포로 27,부산광역시 해운대구 좌동 1448,35.16652076,129.1864212,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,10~20,2022-03-21,35.16652076129.1864212
81,초등학교,해림초교,부산광역시 해운대구 해운대로469번길 42,부산광역시 해운대구 우동 1025-11,35.165072,129.1438995,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,7~9.5,2022-03-21,35.165072129.1438995
82,유치원,해성유치원,부산광역시 해운대구 중동2로 20-3,부산광역시 해운대구 중동 1373-1,35.16391269,129.1645423,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,9~26,2022-03-21,35.16391269129.1645423
83,초등학교,해송초교,부산광역시 해운대구 좌동순환로402번길 32,부산광역시 해운대구 좌동 1338,35.16424492,129.179501,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,16~26,2022-03-21,35.16424492129.179501
84,유치원,해운대유치원,부산광역시 해운대구 재송1로26번길 27,부산광역시 해운대구 재송동 1073-28,35.18662108,129.1223378,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,4~7,2022-03-21,35.18662108129.1223378
85,유치원,해운대자연유치원,부산광역시 해운대구 대천로103번길 61,부산광역시 해운대구 좌동 1398,35.18066759,129.1738662,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12~12.5,2022-03-21,35.18066759129.1738662
86,초등학교,해운대초교,부산광역시 해운대구 중동2로24번길 30,부산광역시 해운대구 중동동 1234,35.16490791,129.1656509,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3.0,9~26,2022-03-21,35.16490791129.1656509
87,어린이집,해운대푸른어린이집,부산광역시 해운대구 세실로 7,부산광역시 해운대구 좌동 1331,35.16539442,129.179719,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,13.3,2022-03-21,35.16539442129.179719
88,초등학교,해원초교,부산광역시 해운대구 마린시티2로 10,부산광역시 해운대구 우동 1405-4,35.15882007,129.1439605,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2.0,17,2022-03-21,35.15882007129.1439605
89,어린이집,효원어린이집,부산광역시 해운대구 세실로 158,부산광역시 해운대구 좌동 1412,35.17818274,129.1787522,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1.0,6.5,2022-03-21,35.17818274129.1787522
0,초등학교,남성초등학교,부산광역시 중구 샘길 14,부산광역시 중구 대청동1가 10,35.10571479,129.0344121,부산광역시 중구청,부산중부경찰서,Y,5.0,3~20,2022-03-17,35.10571479129.0344121
1,초등학교,보수초등학교,부산광역시 중구 흑교로 74,부산광역시 중구 보수동1가 50-1,35.10607045,129.0242806,부산광역시 중구청,부산중부경찰서,Y,3.0,5~20,2022-03-17,35.10607045129.0242806
2,초등학교,광일초등학교,부산광역시 중구 중구로 74,부산광역시 중구 대청동4가 95,35.10400525,129.0298609,부산광역시 중구청,부산중부경찰서,Y,2.0,4~14,2022-03-17,35.10400525129.0298609
3,초등학교,봉래초등학교,부산광역시 중구 대영로226번길 15,부산광역시 중구 영주동 582-2,35.11139656,129.0355679,부산광역시 중구청,부산중부경찰서,Y,3.0,4~15,2022-03-17,35.11139656129.0355679
4,어린이집,노틀담어린이집,부산광역시 중구 망양로 309,부산광역시 중구 대청동4가 75-7,35.10578438,129.0282389,부산광역시 중구청,부산중부경찰서,Y,1.0,8~10,2022-03-17,35.10578438129.0282389
5,어린이집,대청어린이집,부산광역시 중구 망양로383번안길 25,부산광역시 중구 영주동222-2,35.11033945,129.0293914,부산광역시 중구청,부산중부경찰서,Y,1.0,7.5,2022-03-17,35.11033945129.0293914
6,어린이집,아기산새어린이집,부산광역시 중구 임소길 26,부산광역시 중구 영주동 467-163,35.11152816,129.0328821,부산광역시 중구청,부산중부경찰서,Y,4.0,7,2022-03-17,35.11152816129.0328821
7,어린이집,영주어린이집,부산광역시 중구 망양로 396,부산광역시 중구 영주동 160,35.11186507,129.0295565,부산광역시 중구청,부산중부경찰서,Y,1.0,7~8,2022-03-17,35.11186507129.0295565
8,어린이집,다사랑어린이집,부산광역시 중구 보수대로140번길 61,부산광역시 중구 보수동1가 48-2,35.10618152,129.024695,부산광역시 중구청,부산중부경찰서,Y,1.0,5,2022-03-17,35.10618152129.024695
9,유치원,명성유치원,부산광역시 중구 영주로24번길 5-1,부산광역시 중구 영주동 284-3,35.1101585,129.0313492,부산광역시 중구청,부산중부경찰서,Y,1.0,6,2022-03-17,35.1101585129.0313492
